PWM 	voltage 	count per second
  0 	   0    	               0
  5 	   0.02 	               0
 10 	   0.07 	               0
 15 	   0.14 	               0
 20 	   0.47 	               5
 25 	   1.18 	              13
 30 	   2.08 	              25
 35 	   2.96 	              38
 40 	   3.78 	              49
 45 	   4.48 	              57
 50 	   5.05 	              67
 55 	   5.46 	              71
 60 	   6.06 	              78
 65 	   6.56 	              85
 70 	   6.85 	              89
 75 	   7.17 	              93
 80 	   7.44 	              97
 85 	   7.67 	              99
 90 	   7.95 	             104
 95 	   8.23 	             108
100 	   8.4  	             110
105 	   8.6  	             113
110 	   8.7  	             115
115 	   8.83 	             116
120 	   9    	             117
125 	   9.1  	             118
130 	   9.21 	             120
135 	   9.35 	             122
140 	   9.4  	             122
145 	   9.5  	             123
150 	   9.59 	             124
155 	   9.7  	             125
160 	   9.79 	             125
165 	   9.85 	             126
170 	   9.8  	             124
175 	  10    	             124
180 	  10.05 	             124
185 	  10.15 	             126
190 	  10.2  	             125
195 	  10.3  	             125
200 	  10.4  	             127
205 	  10.5  	             127
210 	  10.55 	             128
215 	  10.6  	             129
220 	  10.61 	             129
225 	  10.78 	             131
230 	  10.82 	             131
235 	  10.95 	             129
240 	  11    	             129
245 	  11.07 	             130
250 	  11.11 	             134
255 	  11.4  	             135
